#WEBOBS-BPPTKG: Merapi Seismic Catalog
#YYYYmmdd HHMMSS.ss;Nb(#);Duration;Amplitude;Magnitude;Longitude;Latitude;Depth;Type;File;LocMode;LocType;Projection;Operator;Timestamp;ID
20191002 014131.84;1;10.36;25mm;0;110.446;-7.54;0;MP;://bpptkg2019tjcirc;automatic;not locatable;WGS84;LAS;20191002T021448;2019-10#21
20191002 042059.68;1;14.84;2mm;;110.454;-7.538333;0;TECLOC;://bpptkg2019tjhqbd;automatic;not locatable;WGS84;LAS;20191002T045227;2019-10#22
20191002 050002.00;1;;;0;110.446;-7.54;0;AUTO;://bpptkg2019tjixsb;automatic;not locatable;WGS84;SC3;20191002T050002.00;2019-10#23
20191002 081238.60;1;9.64;2mm;0;110.446;-7.54;0;LF;://bpptkg2019tjphsi;automatic;not locatable;WGS84;LAS;20191002T103919;2019-10#24
20191002 110744.76;1;28.92;5mm;0;110.446;-7.54;0;ROCKFALL;://bpptkg2019tjvcpa;automatic;not locatable;WGS84;LAS;20191002T111423;2019-10#25
20191002 115623.48;1;42.76;5mm;;110.454;-7.538333;0;ROCKFALL;://bpptkg2019tjwsmh;automatic;not locatable;WGS84;LAS;20191002T122052;2019-10#26
20191002 152605.00;1;7.8;7mm;0;110.446;-7.54;0;MP;://bpptkg2019tkdrgb;automatic;not locatable;WGS84;RWL;20191002T164002;2019-10#27
20191002 161225.24;1;22.68;10mm;;110.454;-7.538333;0;ROCKFALL;://bpptkg2019tkffcr;automatic;not locatable;WGS84;LAS;20191002T164726;2019-10#28
20191002 164306.60;1;18.32;10mm;;110.454;-7.538333;0;LF;://bpptkg2019tkgfoc;automatic;not locatable;WGS84;LAS;20191002T165331;2019-10#30
20191002 164723.76;1;51.36;40mm;;110.454;-7.538333;0;ROCKFALL;://bpptkg2019tkgjgb;automatic;not locatable;WGS84;LAS;20191002T165516;2019-10#31
20191002 164820.12;1;35.88;20mm;;110.454;-7.538333;0;ROCKFALL;://bpptkg2019tkgkbj;automatic;not locatable;WGS84;LAS;20191002T165609;2019-10#32
20191002 171615.00;1;;;0;110.446;-7.54;0;AUTO;://bpptkg2019tkhigy;automatic;not locatable;WGS84;SC3;20191002T171615.00;2019-10#33
20191002 174057.00;1;;;0;110.446;-7.54;0;AUTO;://bpptkg2019tkidkp;automatic;not locatable;WGS84;SC3;20191002T174057.00;2019-10#34
20191002 184949.00;1;;;0;110.446;-7.54;0;AUTO;://bpptkg2019tkkkvk;automatic;not locatable;WGS84;SC3;20191002T184949.00;2019-10#35
20191002 210900.40;1;28.52;20mm;;110.445234;-7.549111;0;ROCKFALL;://bpptkg2019tkparo;automatic;not locatable;WGS84;LAS;20191002T223617;2019-10#38
20191002 220927.40;1;26.92;10mm;0;110.446;-7.54;0;ROCKFALL;://bpptkg2019tkrawn;automatic;not locatable;WGS84;LAS;20191002T223415;2019-10#36
20191002 221620.68;1;12.6;8mm;;110.454;-7.538333;0;ROCKFALL;://bpptkg2019tkrgsd;automatic;not locatable;WGS84;LAS;20191002T224550;2019-10#39
20191002 222308.00;1;;;0;110.446;-7.54;0;AUTO;://bpptkg2019tkrmpp;automatic;not locatable;WGS84;SC3;20191002T222308.00;2019-10#37
20191002 223156.24;1;22.48;10mm;;110.454;-7.538333;0;ROCKFALL;://bpptkg2019tkrudq;automatic;not locatable;WGS84;LAS;20191002T224629;2019-10#40
20191002 231748.08;1;11.92;15mm;0;110.446;-7.54;0;ROCKFALL;://bpptkg2019tkthsk;automatic;not locatable;WGS84;RWL;20191004T052708;2019-10#41
20191002 233105.64;1;32.88;16mm;;110.454;-7.538333;0;ROCKFALL;://bpptkg2019tkttcw;automatic;not locatable;WGS84;LAS;20191003T000504;2019-10#43
20191003 005418.84;1;20.28;8mm;;110.454;-7.538333;0;ROCKFALL;://bpptkg2019tkwmvi;automatic;not locatable;WGS84;HSW;20191003T032925;2019-10#46
